"seed","team","R32","R16","R8","R4","NCG","title"
"1","Villanova",0.974,0.879,0.762,0.435,0.288,0.153
"1","Kansas",0.973,0.872,0.738,0.53,0.263,0.119
"1","N Carolina",0.968,0.917,0.815,0.43,0.243,0.141
"2","Kentucky",0.963,0.83,0.458,0.216,0.135,0.076
"1","Gonzaga",0.961,0.858,0.588,0.35,0.136,0.072
"2","Duke",0.96,0.888,0.709,0.384,0.259,0.124
"2","Louisville",0.958,0.688,0.464,0.169,0.055,0.026
"2","Arizona",0.957,0.856,0.685,0.383,0.153,0.062
"3","UCLA",0.949,0.822,0.429,0.249,0.159,0.088
"3","Oregon",0.932,0.726,0.306,0.113,0.035,0.016
"4","Butler",0.901,0.627,0.096,0.031,0.014,0.006
"4","West Virginia",0.891,0.482,0.162,0.064,0.021,0.009
"3","Baylor",0.89,0.572,0.147,0.05,0.021,0.007
"4","Purdue",0.86,0.484,0.084,0.036,0.012,0.005
"6","SMU",0.851,0.363,0.084,0.022,0.008,0.003
"4","Florida",0.851,0.491,0.084,0.031,0.014,0.006
"5","Notre Dame",0.826,0.441,0.181,0.063,0.018,0.007
"3","FSU",0.82,0.58,0.158,0.062,0.018,0.006
"6","Cincinnati",0.803,0.131,0.036,0.012,0.005,0.002
"5","Iowa State",0.793,0.413,0.092,0.037,0.01,0.005
"5","Virginia",0.79,0.404,0.074,0.027,0.012,0.005
"7","Michigan",0.75,0.246,0.14,0.051,0.019,0.011
"8","Wisconsin",0.679,0.076,0.043,0.016,0.008,0.004
"6","Creighton",0.636,0.151,0.037,0.01,0.003,0.001
"10","Wichita State",0.628,0.114,0.04,0.016,0.007,0.003
"5","Minnesota",0.614,0.209,0.027,0.009,0.004,0.002
"6","Maryland",0.579,0.198,0.046,0.015,0.005,0.002
"7","Saint Mary's",0.564,0.081,0.041,0.012,0.004,0.002
"10","Marquette",0.538,0.051,0.02,0.006,0.002,0.001
"8","Northwestern",0.513,0.064,0.022,0.008,0.003,0.002
"9","Michigan State",0.509,0.067,0.037,0.016,0.007,0.004
"8","Arkansas",0.505,0.032,0.016,0.005,0.003,0.001
"9","Seton Hall",0.495,0.034,0.016,0.005,0.002,0.001
"8","Miami",0.491,0.047,0.023,0.008,0.003,0.002
"9","Vanderbilt",0.487,0.062,0.019,0.007,0.002,0.001
"7","South Carolina",0.462,0.042,0.016,0.005,0.002,0.001
"10","Virginia Commonwealth",0.437,0.043,0.016,0.005,0.002,0.001
"11","Xavier",0.421,0.148,0.032,0.01,0.003,0.001
"12","Mid Tennessee",0.386,0.132,0.015,0.004,0.002,0.001
"7","Dayton",0.372,0.039,0.013,0.005,0.002,0.001
"11","URI",0.364,0.099,0.018,0.005,0.002,0.001
"9","Virginia Tech",0.322,0.031,0.013,0.005,0.003,0.002
"10","Oklahoma State",0.25,0.047,0.019,0.006,0.002,0.001
"12","North Carolina-Wilmington",0.211,0.064,0.008,0.003,0.002,0.001
"12","Nevada",0.207,0.061,0.009,0.003,0.001,0.001
"11","WF / KS",0.197,0.025,0.007,0.003,0.001,0.001
"14","Florida Gulf Coast",0.18,0.074,0.012,0.004,0.002,0.001
"12","Princeton",0.174,0.047,0.011,0.004,0.002,0.001
"13","ETSU",0.149,0.041,0.007,0.003,0.001,0.001
"11","PR / SC",0.149,0.032,0.006,0.002,0.001,0.001
"13","Vermont",0.14,0.043,0.009,0.004,0.001,0.001
"14","New Mexico St",0.11,0.033,0.007,0.003,0.001,0.001
"13","Bucknell",0.109,0.03,0.007,0.003,0.001,0.001
"13","Winthrop",0.099,0.032,0.007,0.003,0.001,0.001
"14","Iona",0.068,0.024,0.006,0.002,0.001,0
"14","Kent State",0.051,0.022,0.006,0.003,0.001,0.001
"15","North Dakota",0.043,0.02,0.011,0.003,0.002,0.001
"15","Jacksonville St",0.043,0.018,0.011,0.003,0.001,0.001
"15","Troy",0.04,0.018,0.011,0.003,0.001,0.001
"16","South Dakota St",0.039,0.017,0.01,0.007,0.004,0.002
"15","N Kentucky",0.037,0.017,0.011,0.003,0.002,0.001
"16","Texas Southern",0.032,0.016,0.01,0.007,0.004,0.002
"16","NC / UD",0.027,0.014,0.009,0.006,0.002,0.001
"16","MS / NO",0.026,0.013,0.008,0.006,0.002,0.001
